구분,대여소명,반납일자,반납건수,,,,
구로구,1964. 원메디타운 앞,201901,186,,,,
구로구,1965. 삼환로즈빌아파트 105동 옆,201901,122,,,,
구로구,1966. 한마을아파트 정문상가,201901,219,,,,
구로구,1967. 참새공원(백곡경노당),201901,35,,,,
구로구,1968. 동인오피스텔 건너편 소공원,201901,69,,,,
구로구,1969. 궁동생태공원,201901,16,,,,
구로구,1971. 오정초교 앞 보도육교,201901,45,,,,
구로구,1973. 오리로와 서해안도로 교차로 앞,201901,17,,,,
구로구,1974. 신도림2차e편한세상아파트 203동 앞,201901,279,,,,
구로구,1975. 대림역 1번 출입구 밑,201901,227,,,,
구로구,1976. 남구로역 5번 출입구 앞,201901,139,,,,
구로구,1977. 천왕역 1번 출입구 앞,201901,161,,,,
구로구,1979. 구로1동우체국 앞,201901,72,,,,
구로구,1981. 천왕이펜하우스5단지 앞,201901,227,,,,
구로구,1983. 구로동롯데아파트,201901,282,,,,
구로구,1984. 구로구청,201901,323,,,,
구로구,1985. 구로도서관,201901,791,,,,
구로구,1986. 태평양물산빌딩,201901,920,,,,
구로구,1987. 개봉아이파크아파트 앞,201901,205,,,,
구로구,1988. 고척LIGA아파트 앞,201901,289,,,,
구로구,1991. 오류동역 맞은편,201901,253,,,,
구로구,1992. 구로구배드민턴실내체육관 앞,201901,45,,,,
구로구,1993. 금강수목원아파트 앞,201901,30,,,,
구로구,1994. 삼성전자 물류센터 앞,201901,133,,,,
구로구,1996. 구일역 1번 출입구 앞,201901,107,,,,
구로구,1998. 고척교 교차로,201901,97,,,,
금천구,1804. 독산역 2번출구 자전거주차장,201901,318,,,,
금천구,1805. 서울디지털운동장 앞,201901,255,,,,
금천구,1806. 에이스하이엔드타워9차 앞,201901,190,,,,
금천구,1808. 에이스하이엔드타워8차 앞,201901,346,,,,
금천구,1809. LG전자 별관동(호서대 벤처타워 맞은편),201901,213,,,,
금천구,1812. 갑을그레이트밸리 앞,201901,219,,,,
금천구,1814. 두산위브아파트 옆 상가건물 앞,201901,293,,,,
금천구,1816. 금천폭포공원 앞,201901,49,,,,
금천구,1819. 금천구청 앞 자전거거치대,201901,152,,,,
금천구,1820. 신한은행 시흥대로금융센터지점,201901,85,,,,
금천구,1821. 홈플러스 시흥점 맞은편 다비치안경 앞,201901,162,,,,
금천구,1822. 서울 시흥동우체국 앞,201901,183,,,,
금천구,1823. 상신정비공업 앞,201901,75,,,,
금천구,1824. 독산근린공원 입구,201901,242,,,,
금천구,1825. 한신아파트 앞 육교 아래,201901,72,,,,
금천구,1826. 한신코아 앞,201901,115,,,,
금천구,1827. 독산보도육교 앞 자전거 보관소,201901,322,,,,
금천구,1828. 한양수자인아파트 앞,201901,105,,,,
금천구,1829. 홈플러스 금천점 앞,201901,300,,,,
금천구,1830. 빅마켓 금천점 앞,201901,382,,,,
금천구,1831. 메이퀸웨딩컨벤션 앞,201901,107,,,,
